date,time,home_to_lpc,home_to_loop,lpc_to_home,loop_to_home
2026-07-25,17:01,64.2,70.8,44.8,41.8
2026-07-25,17:15,63.5,67.8,45.0,42.3
2026-07-25,17:30,61.2,65.4,44.0,43.0
2026-07-25,17:45,59.5,66.0,42.7,42.0
2026-07-25,18:00,57.8,69.8,41.1,40.2
2026-07-25,18:15,63.4,70.3,39.5,37.7
2026-07-25,18:30,53.9,66.3,41.3,38.1
2026-07-25,18:45,52.2,62.1,40.3,37.2
2026-07-25,19:00,50.4,56.5,38.4,36.1
2026-07-25,19:15,48.0,53.3,41.5,35.2
2026-07-25,19:30,46.2,50.6,42.7,36.4
2026-07-25,19:45,44.6,48.5,43.0,36.4
2026-07-25,20:00,42.6,47.9,41.9,36.3
2026-07-25,20:15,42.1,47.6,40.8,38.5
2026-07-25,20:30,41.4,48.3,42.2,38.6
2026-07-25,20:45,39.3,48.2,38.0,38.1
2026-07-25,21:00,40.1,45.1,35.7,36.7
2026-07-25,21:15,39.4,45.0,36.8,36.4
2026-07-25,21:30,37.0,46.6,36.4,36.5
2026-07-25,21:45,34.5,45.5,36.1,39.2
2026-07-25,22:00,33.1,43.4,35.9,39.4
2026-07-25,22:15,36.0,42.2,38.9,41.0
2026-07-25,22:30,39.3,40.1,38.4,42.2
2026-07-25,22:45,34.7,39.6,38.3,43.1
2026-07-26,06:00,28.3,32.0,28.7,31.5
2026-07-26,06:15,28.2,31.9,28.9,31.7
2026-07-26,06:30,28.3,32.0,28.9,31.8
2026-07-26,06:45,28.4,32.2,29.1,31.7
2026-07-26,07:00,28.7,32.3,29.1,31.5
2026-07-26,07:15,28.5,32.1,29.1,31.5
2026-07-26,07:30,28.8,32.4,29.1,32.0
2026-07-26,07:45,28.9,32.8,29.5,32.3
2026-07-26,08:00,29.5,33.4,29.4,32.1
2026-07-26,08:15,29.6,33.3,29.8,32.3
2026-07-26,08:30,30.1,33.9,30.3,32.5
2026-07-26,08:45,30.8,34.9,30.5,32.8
2026-07-26,09:00,32.9,35.2,31.1,33.0
2026-07-26,09:15,34.2,35.9,31.6,32.9
2026-07-26,09:30,37.1,36.9,32.5,33.4
2026-07-26,09:45,44.0,38.2,32.7,33.5
2026-07-26,10:00,46.4,41.8,34.0,34.1
2026-07-26,10:15,45.4,48.0,33.7,34.5
2026-07-26,10:30,50.0,51.1,36.8,35.0
2026-07-26,10:45,51.9,53.7,38.2,34.9
2026-07-26,11:00,56.2,53.5,38.4,35.5
2026-07-26,11:15,59.8,55.8,40.4,36.1
2026-07-26,11:30,60.4,58.7,42.7,35.9
2026-07-26,11:45,59.7,60.8,43.4,37.8
2026-07-26,12:00,60.8,62.1,44.0,37.5
2026-07-26,12:15,66.4,64.0,45.0,39.7
2026-07-26,12:30,66.8,64.5,45.9,41.9
2026-07-26,12:45,66.8,62.0,46.1,41.9
2026-07-26,13:00,69.9,60.8,45.8,41.8
2026-07-26,13:15,67.0,61.7,45.1,43.9
2026-07-26,13:30,69.1,61.8,46.5,42.1
2026-07-26,13:45,61.9,60.3,45.4,43.8
2026-07-26,14:00,62.4,63.2,46.0,42.9
2026-07-26,14:15,63.1,62.3,47.9,41.8
2026-07-26,14:30,63.8,59.4,46.4,41.7
2026-07-26,14:45,63.1,56.6,46.0,41.3
2026-07-26,15:00,64.0,55.9,44.0,40.9
2026-07-26,15:15,62.9,56.5,46.0,41.2
2026-07-26,15:30,60.4,52.1,45.1,41.9
2026-07-26,15:45,58.9,50.3,44.9,43.2
2026-07-26,16:00,58.5,53.5,43.7,43.2
2026-07-26,16:15,55.6,54.4,45.8,42.7
2026-07-26,16:30,50.8,53.2,45.8,41.4
2026-07-26,16:45,49.5,52.5,42.6,40.0
2026-07-26,17:00,46.9,50.2,43.3,40.7
